result,score,DR,A,DF,1stin,1st%,2nd%,BPsvd,time
0,7-6(1) 6-4 6-3,0.76,14.40%,2.90%,65.40%,66.20%,41.70%,7/11,2:18
1,6-3 2-6 2-6 7-6(8) 6-3,0.93,2.90%,1.80%,65.50%,71.40%,52.50%,10/14,3:31
1,4-6 6-1 6-2 6-2,1.36,4.90%,0.00%,61.20%,76.20%,52.50%,7/9,2:11
1,4-6 7-6(2) 6-4 4-6 7-6(8),1.08,9.40%,3.50%,65.30%,76.60%,50.80%,4/8,4:03
1,6-1 6-4 6-1,1.86,20.60%,0.00%,69.10%,76.60%,61.90%,2/3,1:32
1,6-3 6-2 6-2,2.36,16.70%,1.50%,74.20%,81.60%,76.50%,1/1,1:21
0,6-3 6-4,0.97,5.60%,0.00%,55.60%,70.00%,45.80%,1/4,1:36
1,6-4 6-3,2.08,24.50%,4.10%,73.50%,80.60%,69.20%,1/1,1:13
0,7-5 7-5,0.97,7.40%,0.00%,69.10%,70.20%,47.60%,2/5,1:40
1,7-6(2) 6-3,1.38,11.90%,0.00%,67.20%,77.80%,68.20%,3/3,1:18
1,6-2 6-2,1.71,8.00%,0.00%,64.00%,78.10%,61.10%,0/0,1:08
1,6-4 6-4,1.6,11.50%,3.80%,57.70%,80.00%,77.30%,1/1,1:18
1,6-0 6-3,2.17,12.50%,2.50%,75.00%,76.70%,70.00%,2/2,1:02
1,6-2 6-1,1.65,23.50%,3.90%,64.70%,81.80%,38.90%,0/1,0:52
0,6-3 6-7(7) 6-3,0.7,3.30%,0.00%,64.10%,64.40%,57.60%,4/8,2:04
1,7-6(7) 6-4,1.17,9.60%,1.20%,72.30%,71.70%,56.50%,2/3,1:54
1,6-2 7-6(5),2.4,14.80%,0.00%,79.60%,90.70%,63.60%,0/0,1:24
0,3-6 6-4 3-6 6-4 6-2,0.91,4.20%,0.70%,61.10%,73.90%,50.00%,10/15,3:12
1,6-2 6-2 6-0,2.18,16.10%,4.80%,67.70%,83.30%,40.00%,5/7,1:19
1,6-2 6-2 6-1,2.6,16.40%,1.60%,65.60%,80.00%,71.40%,1/2,1:20
1,3-6 6-2 6-3 6-4,1.2,13.40%,3.40%,68.90%,76.80%,43.20%,6/8,2:22
1,4-6 6-1 6-2 6-4,1.21,9.10%,5.30%,60.60%,71.30%,48.10%,10/13,2:30