RN SHOT TYPES	Total	PtEnd---%	Winner--%	IndFcd--%	UnfErr--%	SvReturn	inPtsW--%	inPtsL--%
Total	280	42 (15%)	18 (6%)	8 (3%)	16 (6%)	69 (25%)	162 (58%)	118 (42%)
								
Forehand side	158	32 (20%)	15 (9%)	6 (4%)	11 (7%)	26 (16%)	93 (59%)	65 (41%)
Backhand side	122	10 (8%)	3 (2%)	2 (2%)	5 (4%)	43 (35%)	69 (57%)	53 (43%)
								
FH GS (top/flt/slc)	154	28 (18%)	13 (8%)	5 (3%)	10 (6%)	26 (17%)	90 (58%)	64 (42%)
BH GS (top/flt/slc)	121	10 (8%)	3 (2%)	2 (2%)	5 (4%)	42 (35%)	68 (56%)	53 (44%)
								
Baseline shots	277	39 (14%)	16 (6%)	8 (3%)	15 (5%)	69 (25%)	160 (58%)	117 (42%)
Net shots	3	3 (100%)	2 (67%)	0 (0%)	1 (33%)	0 (0%)	2 (67%)	1 (33%)
								
Groundstrokes (top/flt)	233	36 (15%)	15 (6%)	7 (3%)	14 (6%)	55 (24%)	139 (60%)	94 (40%)
Dropshots	1	1 (100%)	0 (0%)	1 (100%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
Lobs	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	1 (100%)	0 (0%)
								
Volleys	3	3 (100%)	2 (67%)	0 (0%)	1 (33%)	0 (0%)	2 (67%)	1 (33%)
								
Forehands (top/flt)	151	28 (19%)	13 (9%)	5 (3%)	10 (7%)	26 (17%)	90 (60%)	61 (40%)
Backhands (top/flt)	82	8 (10%)	2 (2%)	2 (2%)	4 (5%)	29 (35%)	49 (60%)	33 (40%)
FH slice/chip	3	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	3 (100%)
BH slice/chip	39	2 (5%)	1 (3%)	0 (0%)	1 (3%)	13 (33%)	19 (49%)	20 (51%)
FH drop shot	1	1 (100%)	0 (0%)	1 (100%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
BH lob	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	1 (100%)	0 (0%)
								
FH volley	3	3 (100%)	2 (67%)	0 (0%)	1 (33%)	0 (0%)	2 (67%)	1 (33%)